,feature_00,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target_00,target_01
0,1.138,1.543333332,289964.0,22.491483333333335,111.28966666666666,7584.0,7584.0,737.156,561.15,823.713,109600.00000000001,99800.0,594700.0,101899.99999999999,0.07137,0.082,0.95,0.975
1,2.088,3.086666664,6960180.0,22.9361,113.80781666666667,28204.0,28204.0,908.5509999999999,561.15,854.808,133100.0,99800.0,728200.0,101899.99999999999,0.10654999999999999,0.287,0.95,0.975
2,3.144,4.6299999960000005,8379228.999999999,23.112616666666668,118.53018333333333,60358.0,60358.0,879.1519999999999,561.15,860.737,138900.0,99800.0,757400.0,102000.0,0.13086,0.259,0.95,0.975
3,4.161,6.173333328,14724395.0,25.791083333333333,129.87716666666665,113774.0,113774.0,934.621,561.15,887.001,165800.0,99800.0,900700.0,102200.0,0.18109000000000003,0.358,0.95,0.975
4,5.14,7.71666666,21636432.0,32.07188333333333,141.57961666666665,175306.0,175306.0,1004.644,561.15,918.792,207799.99999999997,99800.0,1119700.0,102600.0,0.26373,0.522,0.95,0.975
5,6.175,9.259999992000001,29792731.0,38.45673333333333,147.13933333333335,246278.0,246278.0,1073.5839999999998,561.15,949.547,250100.0,99800.0,1335600.0,103000.0,0.3576,0.708,0.95,0.975
6,7.148,10.803333324,38982180.0,44.634766666666664,152.20715,332077.0,332077.0,1127.897,561.15,973.1039999999999,296300.0,99800.0,1567900.0,103499.99999999999,0.45881,0.908,0.95,0.975
7,8.206,12.346666656,50996808.0,51.45935,155.30936666666668,437989.0,437989.0,1225.272,561.15,1014.92,357600.0,99800.0,1863200.0000000002,104000.0,0.6244,1.236,0.95,0.975
8,9.3,13.889999988,72763329.0,59.33991666666667,162.97546666666668,644905.0,644905.0,1388.9470000000001,561.15,1062.2440000000001,449800.0,99800.0,2281100.0,104900.0,0.9255599999999999,1.832,0.95,0.975
9,1.138,1.543333332,379880.0,22.589583333333334,111.3986,7915.0,7915.0,737.1669999999999,561.15,824.135,110000.00000000001,99800.0,596300.0,101899.99999999999,0.03879,0.079,0.95,0.976
10,2.088,3.086666664,6969176.0,22.865666666666666,113.8073,27424.0,27424.0,909.11,561.15,854.59,133000.0,99800.0,727200.0,101899.99999999999,0.12785,0.289,0.95,0.976
11,3.144,4.6299999960000005,8379307.000000001,23.112633333333335,118.57326666666665,60353.0,60353.0,878.319,561.15,860.587,138900.0,99800.0,756700.0,102000.0,0.13052,0.258,0.95,0.976
12,4.161,6.173333328,14724544.0,25.791099999999997,129.91076666666666,113795.0,113795.0,933.718,561.15,886.838,165700.0,99800.0,899799.9999999999,102200.0,0.18066,0.358,0.95,0.976
13,5.14,7.71666666,21636777.0,32.07188333333333,141.59495,175314.0,175314.0,1003.645,561.15,918.607,207799.99999999997,99800.0,1118500.0,102600.0,0.26316,0.521,0.95,0.976
14,6.175,9.259999992000001,29792982.999999996,38.456466666666664,147.15656666666666,246295.0,246295.0,1072.4479999999999,561.15,949.3199999999999,250100.0,99800.0,1334200.0,103000.0,0.35686999999999997,0.707,0.95,0.976
15,7.148,10.803333324,38981896.0,44.634766666666664,152.21553333333335,332208.0,332208.0,1126.851,561.15,972.929,296300.0,99800.0,1566100.0,103499.99999999999,0.45799,0.907,0.95,0.976
16,8.206,12.346666656,50997234.00000001,51.459716666666665,155.31558333333334,438098.0,438098.0,1224.223,561.15,1014.755,357500.0,99800.0,1861100.0,104000.0,0.62342,1.234,0.95,0.976
17,9.3,13.889999988,72763515.0,59.34001666666666,162.98851666666667,644963.0,644963.0,1388.0369999999998,561.15,1062.099,449600.00000000006,99800.0,2278400.0,104900.0,0.92448,1.83,0.95,0.976
18,1.138,1.543333332,753021.0,22.864766666666664,111.63063333333332,8858.0,8858.0,746.815,561.15,826.293,111700.0,99800.0,604700.0,101899.99999999999,0.0,0.088,0.95,0.977
19,2.088,3.086666664,6961726.0,22.85095,113.8394,27259.0,27259.0,908.283,561.15,854.394,133000.0,99800.0,726200.0,101899.99999999999,0.13192,0.289,0.95,0.977
20,3.144,4.6299999960000005,8379456.0,23.11265,118.61645,60356.0,60356.0,877.4879999999999,561.15,860.4359999999999,138900.0,99800.0,755900.0,102000.0,0.13018000000000002,0.258,0.95,0.977
21,4.161,6.173333328,14724616.000000002,25.791099999999997,129.94428333333335,113801.0,113801.0,932.816,561.15,886.674,165700.0,99800.0,898900.0000000001,102200.0,0.18023,0.357,0.95,0.977
22,5.14,7.71666666,21636925.0,32.07191666666667,141.6101666666667,175282.0,175282.0,1002.6469999999999,561.15,918.422,207799.99999999997,99800.0,1117400.0,102600.0,0.2626,0.52,0.95,0.977
23,6.175,9.259999992000001,29793327.999999996,38.45628333333333,147.17388333333335,246220.0,246220.0,1071.316,561.15,949.093,250100.0,99800.0,1332800.0,103000.0,0.35613,0.705,0.95,0.977
24,7.148,10.803333324,38981432.0,44.634766666666664,152.22386666666668,332108.0,332108.0,1125.808,561.15,972.754,296200.0,99800.0,1564400.0,103499.99999999999,0.45717,0.905,0.95,0.977
25,8.206,12.346666656,50997566.0,51.46001666666667,155.32176666666666,438134.0,438134.0,1223.1770000000001,561.15,1014.591,357400.0,99800.0,1858899.9999999998,104099.99999999999,0.62245,1.232,0.95,0.977
26,9.3,13.889999988,72764565.0,59.34005,163.00171666666665,645076.0,645076.0,1387.1349999999998,561.15,1061.9560000000001,449500.0,99800.0,2275600.0,104900.0,0.92342,1.828,0.95,0.977
27,1.138,1.543333332,1341723.0,23.193383333333333,111.9019,10018.0,10018.0,763.8109999999999,561.15,829.7669999999999,114199.99999999999,99800.0,618500.0,101899.99999999999,0.0,0.107,0.95,0.978
28,2.088,3.086666664,6895321.0,22.780716666666667,113.83861666666667,26481.0,26481.0,906.8009999999999,561.15,853.911,132600.0,99800.0,723900.0,101899.99999999999,0.15319000000000002,0.289,0.95,0.978
29,3.144,4.6299999960000005,8379548.000000001,23.11265,118.65958333333333,60351.0,60351.0,876.659,561.15,860.286,138900.0,99800.0,755200.0,102000.0,0.12983,0.257,0.95,0.978
30,4.161,6.173333328,14724731.000000002,25.791116666666667,129.97788333333332,113797.0,113797.0,931.9159999999999,561.15,886.511,165700.0,99800.0,898000.0,102200.0,0.17980000000000002,0.356,0.95,0.978
31,5.14,7.71666666,21636973.0,32.07196666666667,141.62535,175300.0,175300.0,1001.651,561.15,918.2379999999999,207799.99999999997,99800.0,1116200.0,102600.0,0.26203,0.519,0.95,0.978
32,6.175,9.259999992000001,29793658.0,38.45608333333333,147.19118333333333,246288.0,246288.0,1070.187,561.15,948.8679999999999,250000.0,99800.0,1331500.0,103000.0,0.3554,0.704,0.95,0.978
33,7.148,10.803333324,38981087.0,44.63478333333333,152.2322166666667,332197.0,332197.0,1124.768,561.15,972.579,296100.0,99800.0,1562700.0,103499.99999999999,0.45636000000000004,0.904,0.95,0.978
34,8.206,12.346666656,50997769.0,51.46028333333334,155.3279,438052.0,438052.0,1222.134,561.15,1014.427,357400.0,99800.0,1856800.0000000002,104099.99999999999,0.62148,1.23,0.95,0.978
35,9.3,13.889999988,72765436.0,59.34008333333333,163.01478333333336,645040.0,645040.0,1386.234,561.15,1061.8139999999999,449400.0,99800.0,2272900.0,104900.0,0.92235,1.826,0.95,0.978
36,1.138,1.543333332,1836145.0,23.395233333333334,112.08571666666667,10747.0,10747.0,778.297,561.15,832.4499999999999,116300.0,99800.0,629300.0,101899.99999999999,0.0,0.124,0.95,0.979
37,2.088,3.086666664,6846147.0,22.737833333333334,113.8549,26018.0,26018.0,905.3149999999999,561.15,853.54,132400.0,99800.0,722200.0,101899.99999999999,0.16580999999999999,0.288,0.95,0.979
38,3.144,4.6299999960000005,8379616.0,23.112666666666666,118.70270000000001,60358.0,60358.0,875.8299999999999,561.15,860.136,138800.0,99800.0,754400.0,102000.0,0.12949,0.256,0.95,0.979
39,4.161,6.173333328,14724795.0,25.791133333333335,130.01146666666668,113791.0,113791.0,931.019,561.15,886.348,165700.0,99800.0,897100.0,102200.0,0.17937,0.355,0.95,0.979
40,5.14,7.71666666,21637374.0,32.07196666666667,141.64069999999998,175283.0,175283.0,1000.66,561.15,918.054,207700.0,99800.0,1115100.0,102600.0,0.26147,0.518,0.95,0.979
41,6.175,9.259999992000001,29793951.0,38.45585,147.20843333333332,246254.0,246254.0,1069.061,561.15,948.643,250000.0,99800.0,1330100.0,103000.0,0.35467,0.702,0.95,0.979
42,7.148,10.803333324,38980696.0,44.634766666666664,152.24056666666667,332154.0,332154.0,1123.73,561.15,972.405,296100.0,99800.0,1561000.0,103499.99999999999,0.45555,0.902,0.95,0.979
43,8.206,12.346666656,50997922.0,51.46045,155.334,437996.0,437996.0,1221.0929999999998,561.15,1014.264,357300.0,99800.0,1854700.0,104099.99999999999,0.62051,1.228,0.95,0.979
44,9.3,13.889999988,72766645.0,59.34008333333333,163.02786666666668,644879.0,644879.0,1385.3380000000002,561.15,1061.673,449300.00000000006,99800.0,2270100.0,104900.0,0.92129,1.824,0.95,0.979
45,1.138,1.543333332,2208183.0,23.501483333333333,112.20413333333333,11143.0,11143.0,789.117,561.15,834.36,117800.0,99800.0,637200.0,101899.99999999999,0.0,0.136,0.95,0.98
46,2.088,3.086666664,6838593.0,22.7466,113.90286666666665,26113.0,26113.0,904.052,561.15,853.372,132400.0,99800.0,721400.0,101899.99999999999,0.16216000000000003,0.287,0.95,0.98
47,3.144,4.6299999960000005,8379728.999999999,23.112666666666666,118.74588333333332,60361.0,60361.0,875.005,561.15,859.986,138800.0,99800.0,753700.0,102000.0,0.12915,0.256,0.95,0.98
48,4.161,6.173333328,14724872.0,25.791133333333335,130.04506666666666,113798.0,113798.0,930.124,561.15,886.185,165600.0,99800.0,896200.0,102200.0,0.17894,0.354,0.95,0.98
49,5.14,7.71666666,21637135.0,32.07203333333333,141.65574999999998,175329.0,175329.0,999.667,561.15,917.87,207700.0,99800.0,1113900.0,102600.0,0.2609,0.516,0.95,0.98
50,6.175,9.259999992000001,29794302.000000004,38.455733333333335,147.22576666666666,246236.0,246236.0,1067.9389999999999,561.15,948.418,250000.0,99800.0,1328700.0,103000.0,0.35393,0.701,0.95,0.98
51,7.148,10.803333324,38980287.00000001,44.634800000000006,152.2489,332194.0,332194.0,1122.695,561.15,972.232,296000.0,99800.0,1559200.0,103499.99999999999,0.45473,0.9,0.95,0.98
52,8.206,12.346666656,50998050.0,51.460566666666665,155.34006666666667,438004.0,438004.0,1220.056,561.15,1014.102,357200.0,99800.0,1852499.9999999998,104099.99999999999,0.61954,1.226,0.95,0.98
53,9.3,13.889999988,72767018.0,59.340199999999996,163.0407,644844.0,644844.0,1384.44,561.15,1061.532,449200.0,99800.0,2267400.0,104900.0,0.92023,1.822,0.95,0.98
54,1.138,1.543333332,2951927.0,23.619633333333336,112.33515,11583.0,11583.0,811.472,561.15,838.093,120700.00000000001,99800.0,652800.0,101899.99999999999,0.0,0.162,0.95,0.981
55,2.088,3.086666664,6804076.0,22.729300000000002,113.93436666666666,25915.0,25915.0,902.5169999999999,561.15,853.081,132300.0,99800.0,720000.0,101899.99999999999,0.16701000000000002,0.286,0.95,0.981
56,3.144,4.6299999960000005,8379829.0,23.112683333333333,118.78904999999999,60364.0,60364.0,874.18,561.15,859.836,138800.0,99800.0,753000.0,102000.0,0.12881,0.255,0.95,0.981
57,4.161,6.173333328,14724969.0,25.791150000000002,130.07876666666667,113802.0,113802.0,929.231,561.15,886.0219999999999,165600.0,99800.0,895299.9999999999,102200.0,0.17852,0.353,0.95,0.981
